"","Date","CHP factor - Long","CHP factor - Short","Momentum factor - Long","Momentum factor - Short","EW - UK-Metals","EW - US-Commodities","SP500-Return","SP500-CHP"
"123",1999-05-07,-0.00227136856840794,-0.0077826992847046,0.00472042644232804,0.00760510568177948,0.00201167014156461,-0.000669963688003978,0.0109988776655443,0.509598676569445
"124",1999-05-14,0.0114026009653169,0.0235377660883329,-0.0059346316082128,0.00253682636400403,0.010447013367587,-0.00246908651456329,-0.0088069863824749,0.511422166672197
"125",1999-05-21,0.000405100801360234,0.0145901115706332,-0.0270469637893111,0.0134881380303186,-0.0294998732635527,-0.0119874658939661,-0.00335996416038231,0.515417101255591
"126",1999-05-28,0.0070016892874893,0.000828400662114356,-0.0123515230736862,-0.0017954803201949,-0.0811231586694138,-0.00434388520036887,-0.028169014084507,0.506762523140238
"127",1999-06-04,0.0134654303094723,-0.0288440249427533,0.0286155031116279,-0.0326761265938256,0.012274587944728,0.0215864306376705,0.0352297255627505,0.518680130774098
"128",1999-06-11,0.00683034364153975,-0.00248005869927101,0.0123318058633208,-0.00355490812634633,0.0351504130845948,0.00968379426712838,-0.025020478069849,0.520060081720062
"129",1999-06-18,-0.0136123510428326,-0.00753353147134171,-0.0111388653475883,-0.00598802892317037,0.00756852460772757,-0.00490518804424438,0.0362789276712747,0.513201641831251
"130",1999-06-25,-0.00934821199887577,0.021924256041111,0.00553241104388698,0.0280011765028752,0.0114101638518334,-0.0106769080462782,-0.0204893867924528,0.502139375459913
"131",1999-07-02,-0.0119061840686514,0.0139745907272658,0.00325638422314069,0.0249548665364709,0.0227777476787678,-0.00588741067678546,0.0578630549285177,0.498149436275513
"132",1999-07-09,4.27868739923121e-05,0.0481779292624822,0.0111148770631657,0.0380985106709223,0.0281139669457847,-0.0147584771957974,0.00554804751404792,0.497791693882821
"133",1999-07-16,-0.00752618079772442,0.00281426937304873,0.0118584220890499,0.00978493227200826,0.0170163418359555,2.79958115596279e-05,0.00976161844804402,0.499174940725264
"134",1999-07-23,0.0148276669052108,-0.0682278843539178,0.0201544595399887,-0.0712044250861039,-0.0271458937073416,0.0469420934637183,-0.0453239929947461,0.503621882928733
"135",1999-07-30,-0.00307430771453179,0.0270361078447124,-0.00468394309278131,0.0269658641587458,-0.000570611121041453,-0.0162100437506616,-0.0227472850014676,0.503257107959558
"136",1999-08-06,0.0245542736243848,-0.0376869841262283,0.0076342606793417,-0.0341657613714911,0.0368555753258228,0.0296980997129506,-0.0186214146268208,0.515460141924839
"137",1999-08-13,0.0207273803287983,0.0189587500259242,-0.000269717948637171,-0.0228420644801993,0.00841504755067272,0.00163688823205552,0.0198163733741392,0.525806130142846
"138",1999-08-20,-0.0133452761067136,-0.00616525097464883,0.00287991119302056,-0.00649847170690795,-0.00263664494389807,-0.00228443749255886,0.00547677995348494,0.522639054257794
"139",1999-08-27,-0.00818508825759029,0.0168187758396575,-0.0125974467591575,0.0156081194496428,0.00424268241884575,-0.0106008217856871,0.0085808088345023,0.520649289204634
"140",1999-09-03,0.0183078615261661,-0.0349668979740219,0.0174587108420989,-0.020081656136967,0.0359670886701303,0.0304520237518661,0.0194569800991344,0.512785270187997
"141",1999-09-10,0.0320750531233581,-0.0232430388636511,0.0446077216349283,-0.015880252966901,0.0154991190929959,0.0198352608856746,-0.00609579100145141,0.503299861747799
"142",1999-09-17,-0.0143709077402517,0.0253288822113133,-0.0103645986760164,0.0195550468519144,-0.000941737256237585,-0.0170549157944901,-0.0132155373831775,0.505248291587602
"143",1999-09-24,-0.00362200567364591,-0.00720566459423591,0.00441920971522061,-0.00954058135901513,-0.0281731037139184,0.00461453548001465,-0.0466148723640399,0.516404672063129
"144",1999-10-01,0.00134344660805893,-0.0351245903887664,0.00264955747303992,-0.0128241788614738,0.0172684453767366,0.0155688604297342,0.00388048117966622,0.525338009754723
"145",1999-10-08,-0.0479799620377067,-0.00273968454642991,-0.0674002966556245,0.0172305096193688,-0.0332068347415744,-0.024224641799402,0.0409741012756089,0.531664118492045
"146",1999-10-15,0.0314562615530671,0.00642904790988569,0.0438689156520227,-0.0458720929225418,0.0240842067769918,0.0276122367842105,-0.066245822502785,0.530152502206792
"147",1999-10-22,0.0133267899218795,0.0166060964484684,0.00215707420575473,0.00727899416299066,0.0221041577452291,-0.00296245167935662,0.0396882207905831,0.536599854041853
"148",1999-10-29,-0.000796545698978968,0.00655908119285575,-0.0292301827258446,0.00436436185697026,0.00172017907124779,-0.00725909448709974,0.0527845777233782,0.523983519760688
"149",1999-11-05,0.0132776650713143,0.00837888342629216,0.0213317348986363,0.00830359855435513,0.00413375659294468,0.0070444150377895,0.00610376398779233,0.504490086404211
"150",1999-11-12,0.0117022831630553,0.0101863915864355,0.0248857850088654,0.0103037754898391,-0.028856233805032,0.0124524553444976,0.0122779141990466,0.498311641418403
"151",1999-11-19,-0.0172418751550331,-0.00136078275665345,-0.032982568854702,-0.00817670728385891,0.0194080496733408,-0.00776616195461016,0.0184788812785388,0.497927402992306
"152",1999-11-29,NA,NA,0.000788313950012207,-0.00277866474554223,0.0172446808667965,0.00424647284296109,-0.0119789842381786,0.500332807215333
